,year,week,Protests,ForcePosture,Coerce,Assault,Fight,UnconvMassViolence
333,2017,30,104,230,779,373,3350,19
334,2017,31,120,154,584,261,2692,21
335,2017,32,93,120,617,407,2716,22
336,2017,33,120,139,608,404,2766,16
337,2017,34,73,137,562,325,2788,8
338,2017,35,109,58,453,270,2032,3
339,2017,36,107,188,577,380,4030,24
340,2017,37,106,328,713,277,3387,19
341,2017,38,83,294,713,470,3449,48
342,2017,39,70,142,813,398,3336,17
343,2017,40,94,137,707,433,3959,37
344,2017,41,104,180,786,369,3146,15
345,2017,42,146,186,789,318,3981,11
346,2017,43,109,107,816,388,3101,41
347,2017,44,140,123,740,409,3359,15
348,2017,45,130,88,625,290,2652,1
349,2017,46,91,126,624,280,2634,19
350,2017,47,93,149,519,251,2677,23
351,2017,48,79,111,475,226,2468,26
352,2017,49,168,118,760,236,2629,15
353,2017,50,168,232,568,222,2314,20
354,2017,51,127,89,605,202,1808,3
355,2017,52,148,91,787,318,2934,22
356,2018,1,203,34,425,265,2298,21
357,2018,2,83,56,292,222,2390,1
