year,week,province,Civilian,Non-Civilian
2011,31,Deir Ezzor,15.0,0.0
2011,31,Hama,77.0,0.0
2011,31,Hasakeh,0.0,0.0
2011,31,Homs,62.0,4.0
2011,31,Idlib,11.0,1.0
2011,31,Lattakia,14.0,2.0
2011,31,Quneitra,0.0,0.0
2011,31,Raqqa,0.0,0.0
2011,31,Sweida,0.0,0.0
2011,31,Tartous,0.0,0.0
2011,32,Aleppo,4.0,0.0
2011,32,Damascus,0.0,0.0
2011,32,Damascus Suburbs,8.0,7.0
2011,32,Daraa,9.0,0.0
2011,32,Deir Ezzor,14.0,1.0
2011,32,Hama,39.0,0.0
2011,32,Hasakeh,1.0,0.0
2011,32,Homs,37.0,7.0
2011,32,Idlib,8.0,4.0
2011,32,Lattakia,58.0,0.0
2011,32,Quneitra,0.0,0.0
2011,32,Raqqa,0.0,0.0
2011,32,Sweida,0.0,0.0
2011,32,Tartous,0.0,0.0
2011,33,Aleppo,0.0,0.0
2011,33,Damascus,0.0,0.0
2011,33,Damascus Suburbs,5.0,0.0
2011,33,Daraa,13.0,1.0
2011,33,Deir Ezzor,2.0,0.0
2011,33,Hama,8.0,1.0
2011,33,Hasakeh,0.0,0.0
2011,33,Homs,72.0,1.0
2011,33,Idlib,9.0,0.0
2011,33,Lattakia,34.0,0.0
2011,33,Quneitra,0.0,0.0
2011,33,Raqqa,0.0,0.0
2011,33,Sweida,0.0,0.0
2011,33,Tartous,0.0,0.0
2011,34,Aleppo,0.0,0.0
2011,34,Damascus,3.0,0.0
2011,34,Damascus Suburbs,6.0,1.0
2011,34,Daraa,2.0,2.0
2011,34,Deir Ezzor,11.0,1.0
2011,34,Hama,7.0,1.0
2011,34,Hasakeh,0.0,0.0
2011,34,Homs,18.0,1.0
2011,34,Idlib,10.0,3.0
2011,34,Lattakia,7.0,0.0
2011,34,Quneitra,0.0,0.0
2011,34,Raqqa,0.0,0.0
2011,34,Sweida,0.0,0.0
2011,34,Tartous,0.0,0.0
2011,35,Aleppo,6.0,1.0
2011,35,Damascus,3.0,0.0
2011,35,Damascus Suburbs,21.0,0.0
2011,35,Daraa,47.0,0.0
2011,35,Deir Ezzor,14.0,0.0
2011,35,Hama,7.0,0.0
2011,35,Hasakeh,0.0,0.0
2011,35,Homs,38.0,2.0
2011,35,Idlib,22.0,2.0
2011,35,Lattakia,0.0,0.0
2011,35,Quneitra,0.0,0.0
2011,35,Raqqa,0.0,0.0
2011,35,Sweida,0.0,0.0
2011,35,Tartous,0.0,0.0
2011,36,Aleppo,0.0,1.0
2011,36,Damascus,3.0,0.0
2011,36,Damascus Suburbs,7.0,1.0
2011,36,Daraa,5.0,3.0
2011,36,Deir Ezzor,5.0,0.0
2011,36,Hama,10.0,1.0
2011,36,Hasakeh,0.0,0.0
2011,36,Homs,49.0,6.0
2011,36,Idlib,13.0,3.0
2011,36,Lattakia,4.0,0.0
2011,36,Quneitra,0.0,0.0
2011,36,Raqqa,0.0,0.0
2011,36,Sweida,0.0,0.0
2011,36,Tartous,0.0,0.0
2011,37,Aleppo,0.0,2.0
2011,37,Damascus,3.0,2.0
2011,37,Damascus Suburbs,13.0,2.0
2011,37,Daraa,15.0,0.0
2011,37,Deir Ezzor,9.0,2.0
2011,37,Hama,75.0,2.0
2011,37,Hasakeh,0.0,0.0
2011,37,Homs,38.0,4.0
2011,37,Idlib,38.0,5.0
2011,37,Lattakia,3.0,2.0
2011,37,Quneitra,0.0,0.0
2011,37,Raqqa,0.0,0.0
2011,37,Sweida,0.0,0.0
2011,37,Tartous,0.0,0.0
2011,38,Aleppo,1.0,3.0
2011,38,Damascus,1.0,0.0
2011,38,Damascus Suburbs,8.0,1.0
2011,38,Daraa,2.0,1.0
2011,38,Deir Ezzor,0.0,0.0
2011,38,Hama,11.0,1.0
2011,38,Hasakeh,0.0,1.0
2011,38,Homs,40.0,13.0
2011,38,Idlib,7.0,1.0
2011,38,Lattakia,1.0,0.0
2011,38,Quneitra,0.0,0.0
2011,38,Raqqa,0.0,0.0
2011,38,Sweida,1.0,0.0
2011,38,Tartous,0.0,0.0
2011,39,Aleppo,1.0,0.0
2011,39,Damascus,4.0,0.0
2011,39,Damascus Suburbs,4.0,1.0
2011,39,Daraa,4.0,4.0
2011,39,Deir Ezzor,0.0,1.0
2011,39,Hama,17.0,4.0
2011,39,Hasakeh,0.0,0.0
2011,39,Homs,58.0,9.0
2011,39,Idlib,10.0,3.0
2011,39,Lattakia,0.0,0.0
2011,39,Quneitra,0.0,0.0
2011,39,Raqqa,0.0,0.0
2011,39,Sweida,0.0,0.0
2011,39,Tartous,1.0,0.0
2011,40,Aleppo,0.0,0.0
2011,40,Damascus,0.0,0.0
2011,40,Damascus Suburbs,12.0,3.0
2011,40,Daraa,3.0,0.0
2011,40,Deir Ezzor,1.0,0.0
2011,40,Hama,16.0,1.0
2011,40,Hasakeh,2.0,1.0
2011,40,Homs,57.0,3.0
2011,40,Idlib,5.0,4.0
2011,40,Lattakia,4.0,1.0
2011,40,Quneitra,0.0,0.0
2011,40,Raqqa,0.0,0.0
2011,40,Sweida,0.0,0.0
2011,40,Tartous,4.0,0.0
2011,41,Aleppo,3.0,0.0
2011,41,Damascus,4.0,0.0
2011,41,Damascus Suburbs,1.0,2.0
2011,41,Daraa,5.0,1.0
2011,41,Deir Ezzor,2.0,0.0
2011,41,Hama,0.0,1.0
2011,41,Hasakeh,0.0,0.0
2011,41,Homs,25.0,0.0
2011,41,Idlib,15.0,2.0
2011,41,Lattakia,1.0,0.0
2011,41,Quneitra,0.0,1.0
2011,41,Raqqa,0.0,0.0
2011,41,Sweida,0.0,0.0
2011,41,Tartous,0.0,0.0
2011,42,Aleppo,1.0,0.0
2011,42,Damascus,0.0,1.0
2011,42,Damascus Suburbs,5.0,7.0
2011,42,Daraa,10.0,2.0
2011,42,Deir Ezzor,1.0,0.0
2011,42,Hama,13.0,2.0
2011,42,Hasakeh,0.0,0.0
2011,42,Homs,104.0,1.0
2011,42,Idlib,8.0,2.0
2011,42,Lattakia,0.0,0.0
2011,42,Quneitra,0.0,0.0
2011,42,Raqqa,0.0,0.0
2011,42,Sweida,0.0,0.0
2011,42,Tartous,0.0,0.0
2011,43,Aleppo,0.0,0.0
2011,43,Damascus,2.0,0.0
2011,43,Damascus Suburbs,4.0,2.0
2011,43,Daraa,6.0,1.0
2011,43,Deir Ezzor,1.0,1.0
2011,43,Hama,31.0,2.0
2011,43,Hasakeh,1.0,0.0
2011,43,Homs,66.0,2.0
2011,43,Idlib,8.0,2.0
2011,43,Lattakia,3.0,0.0
2011,43,Quneitra,0.0,0.0
2011,43,Raqqa,0.0,1.0
2011,43,Sweida,0.0,0.0
2011,43,Tartous,0.0,0.0
2011,44,Aleppo,1.0,1.0
2011,44,Damascus,1.0,1.0
2011,44,Damascus Suburbs,11.0,2.0
2011,44,Daraa,2.0,0.0
2011,44,Deir Ezzor,2.0,1.0
2011,44,Hama,16.0,1.0
2011,44,Hasakeh,0.0,0.0
2011,44,Homs,127.0,3.0
2011,44,Idlib,11.0,5.0
2011,44,Lattakia,1.0,2.0
2011,44,Quneitra,0.0,0.0
2011,44,Raqqa,0.0,2.0
2011,44,Sweida,0.0,0.0
2011,44,Tartous,0.0,0.0
2011,45,Aleppo,0.0,0.0
2011,45,Damascus,7.0,0.0
2011,45,Damascus Suburbs,7.0,2.0
2011,45,Daraa,14.0,3.0
2011,45,Deir Ezzor,3.0,0.0
2011,45,Hama,34.0,1.0
2011,45,Hasakeh,0.0,1.0
2011,45,Homs,65.0,5.0
2011,45,Idlib,18.0,5.0
2011,45,Lattakia,1.0,0.0
2011,45,Quneitra,0.0,0.0
2011,45,Raqqa,0.0,0.0
2011,45,Sweida,0.0,0.0
2011,45,Tartous,0.0,0.0
2011,46,Aleppo,0.0,2.0
2011,46,Damascus,0.0,0.0
2011,46,Damascus Suburbs,18.0,2.0
2011,46,Daraa,42.0,0.0
2011,46,Deir Ezzor,9.0,0.0
2011,46,Hama,28.0,2.0
2011,46,Hasakeh,1.0,0.0
2011,46,Homs,76.0,8.0
2011,46,Idlib,54.0,11.0
2011,46,Lattakia,0.0,0.0
2011,46,Quneitra,0.0,0.0
2011,46,Raqqa,0.0,0.0
2011,46,Sweida,0.0,0.0
2011,46,Tartous,0.0,0.0
2011,47,Aleppo,1.0,0.0
2011,47,Damascus,0.0,1.0
2011,47,Damascus Suburbs,22.0,1.0
2011,47,Daraa,13.0,6.0
2011,47,Deir Ezzor,16.0,0.0
2011,47,Hama,33.0,2.0
2011,47,Hasakeh,0.0,0.0
2011,47,Homs,112.0,11.0
2011,47,Idlib,19.0,5.0
2011,47,Lattakia,0.0,0.0
2011,47,Quneitra,0.0,0.0
2011,47,Raqqa,0.0,2.0
2011,47,Sweida,0.0,0.0
2011,47,Tartous,1.0,0.0
2011,48,Aleppo,4.0,0.0
2011,48,Damascus,5.0,0.0
2011,48,Damascus Suburbs,15.0,1.0
2011,48,Daraa,3.0,0.0
2011,48,Deir Ezzor,1.0,2.0
2011,48,Hama,39.0,3.0
2011,48,Hasakeh,2.0,0.0
2011,48,Homs,124.0,4.0
2011,48,Idlib,45.0,4.0
2011,48,Lattakia,6.0,0.0
2011,48,Quneitra,0.0,2.0
2011,48,Raqqa,0.0,1.0
2011,48,Sweida,0.0,0.0
2011,48,Tartous,1.0,0.0
2011,49,Aleppo,0.0,2.0
2011,49,Damascus,0.0,1.0
2011,49,Damascus Suburbs,36.0,4.0
2011,49,Daraa,19.0,2.0
2011,49,Deir Ezzor,0.0,0.0
2011,49,Hama,26.0,4.0
2011,49,Hasakeh,2.0,0.0
2011,49,Homs,167.0,0.0
2011,49,Idlib,30.0,10.0
2011,49,Lattakia,0.0,0.0
2011,49,Quneitra,0.0,0.0
2011,49,Raqqa,0.0,0.0
2011,49,Sweida,0.0,0.0
2011,49,Tartous,1.0,0.0
2011,50,Aleppo,0.0,0.0
2011,50,Damascus,4.0,0.0
2011,50,Damascus Suburbs,6.0,2.0
2011,50,Daraa,19.0,6.0
2011,50,Deir Ezzor,7.0,1.0
2011,50,Hama,43.0,7.0
2011,50,Hasakeh,3.0,0.0
2011,50,Homs,93.0,10.0
2011,50,Idlib,61.0,15.0
2011,50,Lattakia,2.0,0.0
2011,50,Quneitra,0.0,0.0
2011,50,Raqqa,0.0,1.0
2011,50,Sweida,0.0,0.0
2011,50,Tartous,0.0,0.0
2011,51,Aleppo,4.0,0.0
2011,51,Damascus,9.0,0.0
2011,51,Damascus Suburbs,14.0,16.0
2011,51,Daraa,44.0,2.0
2011,51,Deir Ezzor,15.0,0.0
2011,51,Hama,23.0,9.0
2011,51,Hasakeh,0.0,0.0
2011,51,Homs,146.0,6.0
2011,51,Idlib,124.0,26.0
2011,51,Lattakia,4.0,0.0
2011,51,Quneitra,2.0,0.0
2011,51,Raqqa,0.0,0.0
2011,51,Sweida,6.0,0.0
2011,51,Tartous,0.0,0.0
2011,52,Aleppo,2.0,2.0
2011,52,Damascus,6.0,2.0
2011,52,Damascus Suburbs,25.0,6.0
2011,52,Daraa,17.0,5.0
2011,52,Deir Ezzor,6.0,1.0
2011,52,Hama,60.0,2.0
2011,52,Hasakeh,0.0,0.0
2011,52,Homs,126.0,5.0
2011,52,Idlib,26.0,2.0
2011,52,Lattakia,6.0,2.0
2011,52,Quneitra,0.0,0.0
2011,52,Raqqa,0.0,0.0
2011,52,Sweida,0.0,0.0
2011,52,Tartous,1.0,0.0
2012,1,Aleppo,18.0,13.0
2012,1,Damascus,17.0,4.0
2012,1,Damascus Suburbs,78.0,27.0
2012,1,Daraa,13.0,2.0
2012,1,Deir Ezzor,16.0,2.0
2012,1,Hama,21.0,6.0
2012,1,Hasakeh,4.0,0.0
2012,1,Homs,63.0,16.0
2012,1,Idlib,16.0,21.0
2012,1,Lattakia,3.0,1.0
2012,1,Quneitra,1.0,2.0
2012,1,Raqqa,0.0,1.0
2012,1,Sweida,0.0,0.0
2012,1,Tartous,0.0,0.0
2012,2,Aleppo,6.0,1.0
2012,2,Damascus,0.0,0.0
2012,2,Damascus Suburbs,30.0,7.0
2012,2,Daraa,3.0,0.0
2012,2,Deir Ezzor,24.0,2.0
2012,2,Hama,12.0,2.0
2012,2,Hasakeh,3.0,3.0
2012,2,Homs,57.0,4.0
2012,2,Idlib,31.0,4.0
2012,2,Lattakia,1.0,0.0
2012,2,Quneitra,1.0,0.0
2012,2,Raqqa,0.0,0.0
2012,2,Sweida,0.0,0.0
2012,2,Tartous,0.0,0.0
2012,3,Aleppo,3.0,5.0
2012,3,Damascus,0.0,0.0
2012,3,Damascus Suburbs,46.0,12.0
2012,3,Daraa,4.0,3.0
2012,3,Deir Ezzor,7.0,2.0
2012,3,Hama,16.0,6.0
2012,3,Hasakeh,0.0,2.0
2012,3,Homs,83.0,5.0
2012,3,Idlib,74.0,12.0
2012,3,Lattakia,8.0,1.0
