"","year","week","province","count"
"3927",2016,30,"Deir.Ezzor",11
"3928",2016,30,"Hama",20
"3929",2016,30,"Homs",37
"3930",2016,30,"Idlib",50
"3931",2016,30,"Lattakia",0
"3932",2016,30,"Quneitra",1
"3933",2016,30,"Damascus.Suburbs",64
"3934",2016,30,"Tartous",0
"3935",2016,31,"Hasakeh",0
"3936",2016,31,"Aleppo",180
"3937",2016,31,"Raqqa",0
"3938",2016,31,"Sweida",0
"3939",2016,31,"Damascus",3
"3940",2016,31,"Daraa",23
"3941",2016,31,"Deir.Ezzor",20
"3942",2016,31,"Hama",43
"3943",2016,31,"Homs",35
"3944",2016,31,"Idlib",99
"3945",2016,31,"Lattakia",0
"3946",2016,31,"Quneitra",0
"3947",2016,31,"Damascus.Suburbs",42
"3948",2016,31,"Tartous",0
"3949",2016,32,"Hasakeh",0
"3950",2016,32,"Aleppo",165
"3951",2016,32,"Raqqa",11
"3952",2016,32,"Sweida",0
"3953",2016,32,"Damascus",1
"3954",2016,32,"Daraa",10
"3955",2016,32,"Deir.Ezzor",33
"3956",2016,32,"Hama",21
"3957",2016,32,"Homs",39
"3958",2016,32,"Idlib",126
"3959",2016,32,"Lattakia",4
"3960",2016,32,"Quneitra",0
"3961",2016,32,"Damascus.Suburbs",53
"3962",2016,32,"Tartous",0
"3963",2016,33,"Hasakeh",3
"3964",2016,33,"Aleppo",118
"3965",2016,33,"Raqqa",2
"3966",2016,33,"Sweida",0
"3967",2016,33,"Damascus",1
"3968",2016,33,"Daraa",20
"3969",2016,33,"Deir.Ezzor",32
"3970",2016,33,"Hama",23
"3971",2016,33,"Homs",51
"3972",2016,33,"Idlib",71
"3973",2016,33,"Lattakia",0
"3974",2016,33,"Quneitra",0
"3975",2016,33,"Damascus.Suburbs",47
"3976",2016,33,"Tartous",0
"3977",2016,34,"Hasakeh",0
"3978",2016,34,"Aleppo",158
"3979",2016,34,"Raqqa",1
"3980",2016,34,"Sweida",0
"3981",2016,34,"Damascus",4
"3982",2016,34,"Daraa",12
