year,week,province,Adult - Female,Adult - Male,Child - Female,Child - Male
2011,23,Raqqa,0.0,0.0,0.0,0.0
2011,23,Sweida,0.0,0.0,0.0,0.0
2011,23,Tartous,0.0,0.0,0.0,0.0
2011,24,Aleppo,0.0,1.0,0.0,0.0
2011,24,Damascus,0.0,0.0,0.0,0.0
2011,24,Damascus Suburbs,0.0,2.0,0.0,1.0
2011,24,Daraa,0.0,1.0,0.0,0.0
2011,24,Deir Ezzor,0.0,3.0,0.0,0.0
2011,24,Hama,0.0,1.0,0.0,0.0
2011,24,Hasakeh,0.0,0.0,0.0,0.0
2011,24,Homs,0.0,5.0,0.0,1.0
2011,24,Idlib,0.0,0.0,0.0,0.0
2011,24,Lattakia,0.0,0.0,0.0,0.0
2011,24,Quneitra,0.0,0.0,0.0,0.0
2011,24,Raqqa,0.0,0.0,0.0,0.0
2011,24,Sweida,0.0,0.0,0.0,0.0
2011,24,Tartous,0.0,0.0,0.0,0.0
2011,25,Aleppo,0.0,0.0,0.0,0.0
2011,25,Damascus,0.0,5.0,0.0,0.0
2011,25,Damascus Suburbs,0.0,2.0,0.0,3.0
2011,25,Daraa,0.0,1.0,0.0,0.0
2011,25,Deir Ezzor,0.0,0.0,0.0,0.0
2011,25,Hama,0.0,7.0,0.0,3.0
2011,25,Hasakeh,0.0,0.0,0.0,0.0
2011,25,Homs,0.0,13.0,0.0,2.0
2011,25,Idlib,0.0,1.0,0.0,0.0
2011,25,Lattakia,0.0,0.0,0.0,0.0
2011,25,Quneitra,0.0,0.0,0.0,0.0
2011,25,Raqqa,0.0,0.0,0.0,0.0
2011,25,Sweida,0.0,0.0,0.0,0.0
2011,25,Tartous,0.0,0.0,0.0,0.0
2011,26,Aleppo,0.0,2.0,0.0,0.0
2011,26,Damascus,0.0,9.0,0.0,0.0
2011,26,Damascus Suburbs,0.0,1.0,0.0,0.0
2011,26,Daraa,0.0,1.0,0.0,0.0
2011,26,Deir Ezzor,0.0,2.0,0.0,0.0
2011,26,Hama,0.0,0.0,0.0,0.0
2011,26,Hasakeh,0.0,1.0,0.0,0.0
2011,26,Homs,1.0,13.0,0.0,2.0
2011,26,Idlib,2.0,14.0,0.0,0.0
2011,26,Lattakia,0.0,1.0,0.0,0.0
2011,26,Quneitra,0.0,0.0,0.0,0.0
2011,26,Raqqa,0.0,0.0,0.0,0.0
2011,26,Sweida,0.0,0.0,0.0,0.0
2011,26,Tartous,0.0,0.0,0.0,0.0
2011,27,Aleppo,0.0,0.0,0.0,0.0
2011,27,Damascus,0.0,1.0,0.0,0.0
2011,27,Damascus Suburbs,0.0,1.0,0.0,0.0
2011,27,Daraa,0.0,3.0,0.0,0.0
2011,27,Deir Ezzor,0.0,0.0,0.0,0.0
2011,27,Hama,0.0,33.0,0.0,1.0
2011,27,Hasakeh,0.0,0.0,0.0,0.0
2011,27,Homs,0.0,7.0,0.0,0.0
2011,27,Idlib,0.0,3.0,0.0,0.0
2011,27,Lattakia,0.0,0.0,0.0,0.0
2011,27,Quneitra,0.0,0.0,0.0,0.0
2011,27,Raqqa,0.0,0.0,0.0,0.0
2011,27,Sweida,0.0,0.0,0.0,0.0
2011,27,Tartous,0.0,1.0,0.0,0.0
2011,28,Aleppo,0.0,2.0,0.0,1.0
2011,28,Damascus,0.0,12.0,0.0,4.0
2011,28,Damascus Suburbs,0.0,5.0,0.0,1.0
2011,28,Daraa,0.0,1.0,0.0,1.0
2011,28,Deir Ezzor,0.0,14.0,0.0,1.0
2011,28,Hama,0.0,1.0,0.0,0.0
2011,28,Hasakeh,0.0,0.0,0.0,0.0
2011,28,Homs,1.0,10.0,0.0,1.0
2011,28,Idlib,0.0,13.0,0.0,0.0
2011,28,Lattakia,0.0,1.0,0.0,0.0
2011,28,Quneitra,0.0,0.0,0.0,0.0
2011,28,Raqqa,0.0,0.0,0.0,0.0
2011,28,Sweida,0.0,0.0,0.0,0.0
